Season,Episode,Character,Line
11,13,Stan,i was listening to you for a while dude youve gotten a lot better
1,9,Mr. Garrison,okay children weve just received word from the mayor that the christmas play cant include any christmas lights since they offend people with epilepsy
15,8,Mr. Mackey,huh eexcuse me a minute stan mkay  uh hi ms bronski did we vaccinate stan for the flu last year we did uh oh i think hes got aspergers
1,7,Kyle,it looks like a ufo
1,1,Cartman,thats cause i was having these bogus nightmares
4,6,Kenny,but i wanna play now
13,7,Cartman,yes do you really wanna go back to that
7,13,Mr. Mackey,boys what are you doing back here  i asked you a question what are you doing back here k
5,1,Chef,tonight is the night of a million shits on hbc its gonna be said over and over
10,1,Chef,aw come on children lets go home
14,14,Sharon,hahhh
1,7,Chef,look out children
18,9,Randy,sorry folks just one second here
2,12,Mr. Garrison,dont lie stan lying makes you sterile
3,10,Sharon,randy we cant allow our son to watch this stuff
1,6,Stan,my names not billy grampa its stan
1,1,Chef,love luh huh  do you feel better
7,1,Stan,uh oh this must be the head alien guy
12,3,Kenny,no fuck you shes my girl
4,11,Butters,uh we can help timmy learn how to iceskate too
17,9,Randy,not one more good person dies on my watch
2,5,Chef,great job children just stay focused now
7,8,Mr. Garrison,look guys were sorry we tried to murder you but you have to stop what youre doing
2,4,Mr. Garrison,yeah and now were gonna make sure you get the help you need
6,13,Randy,i love that lingerie  yeah you like that
13,7,Butters,oh hehe says theyre in there
8,4,Sharon,well nice going randy really great advice you gave our son here
18,2,Mr. Garrison,oh no dont try oh god here we go
4,6,Kenny,dad i wanna play catch
14,14,Sharon,like i have time to go to the gym every day
7,10,Randy,this is insane dad you all need to stop right now before more people get hurt
6,4,Randy,vaginitis
9,12,Randy,stan do you want to hear the great secret doctrine of life behind scientology
7,1,Stan,oh nice going cartman
2,5,Chef,children great news weve been asked to play in the state finals for dodgeball
2,7,Stan,give us some cartman
11,13,Randy,noo nooo i said i am your father put it back on
4,12,Chef,some say that on cold nights you can still hear him moanin im not gaaay im not gaaay
5,7,Chef,the first thing that kids learn about sex shouldnt be some bitchscare tactic about stds
15,11,Randy,daugh do you remember the night after we saw wicked
2,4,Mr. Mackey,i dont want help
1,1,Stan,whats a dildo kenny
6,15,Chef,thats right we have to go see him in new york
4,2,Cartman,what the
6,14,Butters,lemmiwinks no
9,12,Sharon,what why
18,10,Sharon,its started
5,4,Stan,got what all figured out
5,7,Butters,but it wont stay on i i need a rubber band or somethin
2,10,Randy,see ya son
6,1,Chef,stand back children jared wants to give you aids
2,4,Stan,hey are we supposed to get your little brother presents for a bris
1,4,Mr. Garrison,oh stop filling his head with that queerloving propaganda
7,10,Randy,what the hell is going on
18,5,Butters,do you remember when i showed you the video of the little bird eggs well thats the last time i felt happy
17,2,Sharon,ive always thought about murdering you in your sleep can you go to the cabin and get in bed
3,8,Stan,no
2,16,Stan,dude i thought mr hankey lived in the sewer whats he doing in nebraska
6,1,Butters,hoh boy mom and dad didnt find out i left the house did they
11,5,Randy,oh we shouldve seen that coming
2,7,Kyle,hello
5,11,Mr. Garrison,what well of course i didnt make it the line to check in was two hours long and the security line was two hours more
16,7,Cartman,lets just say that by this time tomorrow token and nichole are gonna be practically married
16,12,Sharon,randy are you being serious
5,3,Kyle,mom mom i found out all about this great new magician named david blaine
8,10,Kyle,look that was a long time ago maybe trent boyett has forgotten all about it
1,11,Chef,thats okay you know what they say about women with one arm longer than the other
3,1,Cartman,goddamned stupid hippie activist i should be home nestled in the couch with my mr kitty right now watching fat abbot cartoons and eat  yes i knew it im saved
4,13,Mr. Garrison,ohuh yes  yes lets fingerpaint
5,7,Sharon,sexual education havent you learned that yet
1,7,Kyle,it looks like a ufo
3,8,Mr. Garrison,great party mr mackey mr hat just grabbed principal victorias ass  no mr hat you get back here
6,11,Sharon,now stanley
3,1,Mr. Mackey,i am tired of seeing you in my office young man  you get sent here every day craig
18,9,Mr. Garrison,what the hell is that
14,14,Sharon,shake weight you arent really workout equipment at all are you
14,8,Kenny,what
7,13,Mr. Mackey,boys what are you doing back here  i asked you a question what are you doing back here k
18,2,Stan,we cant let our party suck
14,6,Mr. Garrison,eric i  im really sorry that you were put through all this
6,4,Stan,what are they doing here
15,14,Cartman,sit down mom we need to have a talk
12,13,Kyle,i swear
7,7,Mr. Garrison,well this is it mr slave were officially homeless
10,14,Stan,hey
8,9,Sharon,randy what are you doing
16,5,Mr. Mackey,uh who said
4,7,Mr. Garrison,well what did you think
17,2,Sharon,sorry i couldnt resist
4,8,Chef,but nothin  but my ass fix your own damn food
17,2,Kenny,i knew youre up to something
13,13,Mr. Mackey,mkay eric you wanna go next
13,8,Kenny,holy shit dude
8,5,Stan,dude are you still pretending to be a robot
2,4,Mr. Mackey,huh how am i going to make ends meetmmkay whawhat will i do for money
12,10,Randy,theres shelly you excited about eating dinner shelly
16,8,Sharon,ohohh randy its happening
10,12,Butters,well um can can anything bad happen if you completely freeze yourself and then unfreeze yourself three weeks later
1,4,Stan,yeah but my dog found his own way here that makes him smarter than your  sparky get down
4,9,Mr. Mackey,oh yeah that makes me hot mkay
12,6,Randy,but sharon ive got stuff to do ive gotta see my credit rating ive gotta send an email to nelson and check out foleys vacation photos
9,8,Randy,get inside we have to close these doors
3,1,Mr. Garrison,eric cartman you say excuse me
5,7,Kyle,yeah you get out of town
10,1,Chef,i just like to make love up your butt
13,10,Stan,you have no idea what youre saying juggernaut irene loves me and im gonna marry her
7,13,Mr. Mackey,wait a minute what
2,10,Sharon,dont you worry stanley youre going to be okay
4,9,Chef,well eric i i think you were just focusin in on the wrong thing boy bands arent about music boy bands are created by corporations to make money theyre all based on the gomlich effect
4,1,Butters,on your marks get set uhgo
7,8,Chef,no it isnt last year you children were all trying to be black and now youre trying to be gay
2,8,Mr. Garrison,and i cant sleep or think  where would he have gone why would he leave
7,8,Mr. Garrison,straight buuh oh what jesus what the hell is goin on here
11,9,Stan,hi my name is stan marsh my dads trying to beat your record for biggest crap
7,7,Stan,no
18,2,Stan,yeah you remember you said that lorde the singer her uncle worked with you
18,10,Randy,theyve got stan just stay here with michael jackson  shit
6,5,Chef,yes is this customer service im havin problems with my new television it sprouted legs and guns n started walkin around shootin people uh huh okay ohhh so i press menu then function
5,11,Mr. Garrison,weve done it mr hat airline companies be damned weve invented a whole new mode of transportation get some investors on the phone  well what are you waiting for
9,9,Butters,lezzing out whats lezzing out
1,5,Kenny,and i want to see you handling your breasts
4,8,Kenny,plenty this is cause my familys poor
5,9,Stan,hey look at what the postman brought me its a big brown package from afghanistan
1,9,Mr. Mackey,well of course he does in your screwedup little head hes the only friend you have
11,9,Randy,yeah im  im good  feel a lot better
17,5,Mr. Mackey,no see its a 10000 upgrade but it should clean up all of pats mistakes
10,2,Mr. Mackey,well from now on im only going to associate with other hybridcar drivers everyone else is just ignorant mkay
1,4,Chef,whats the matter
3,13,Mr. Garrison,because you never know the right answer buttforbrains yes mark
10,9,Mr. Mackey,why clyde why did you do it
2,2,Chef,what we have to get to the hospital
17,2,Sharon,okay  oh my god you put that sword right through my face
8,1,Kyle,okay hang on guys ill use my special power to see into the future and find out where we should head next
3,6,Kyle,this is freaking me out dude
10,1,Chef,pooot
6,7,Butters,well ah thats good good luck being their new friend tweek i hope youll do better than me well see ya fellas
18,1,Kyle,barking vaginal belch
12,6,Randy,now lets see some bestiality  aahahaha yes ogh  lets get some brazilian fart porn in there  oh thats good eh oh  ohhhhhhhhh hoh hohhh
18,6,Sharon,well then you certainly have some of those problems too with drinking
9,2,Sharon,you ate too much acid man
4,3,Kenny,che io lo so
1,2,Chef,kathie lee youre my sexual fantasy
2,15,Kenny,uh huh
7,10,Sharon,oooh hi dad
15,3,Mr. Mackey,oh youre trying you call rolling your fat ass out on the stage and lazily blurting out your lines like a turtle takin a shit you call that tryin this play is supposed to change  how people think kyle get it fucking right  pick it up from there
15,10,Mr. Mackey,no not cool mkay shes on suicide watch eric shes given up on life
6,8,Sharon,ive heard about other towns bringing in counselors that know how to find things out from kids without really telling them whats going on
6,12,Sharon,randy gerald we we were wrong about heaven the japanese just reached it with their ladder
2,5,Chef,what we did it children we won
18,3,Sharon,randy do you have something to tell me
15,10,Kyle,how do you know
14,9,Sharon,what
3,17,Mr. Mackey,eh you didnt
6,10,Stan,aaaata aaaata
3,12,Kenny,yes i am ive got the costume its waiting in the house yesterday i got this huge package in the mail and it was big okay
13,14,Kyle,no youre the minority
10,12,Butters,who me
6,4,Stan,three of us can sleep while one keeps watch well shift every couple of hours
11,13,Butters,fellas fellas theyre gonna do it
14,10,Stan,no because there could be something written on one of them thats important and uh no dont take my empty bottle  ggive me back my sandwich
3,8,Randy,you mean it im not gay
1,8,Chef,yeah yeah yeah
3,17,Mr. Mackey,yuhno  you may have won this time mr hat
3,3,Chef,you see everythings gonna be fine now how about i meet you boys after work and we can play ball
14,3,Randy,see
12,6,Sharon,whats the matter
2,10,Randy,stan
14,2,Sharon,randy  randy randy you need to read this
1,2,Mr. Garrison,it is too late for me young wendy
7,7,Stan,i know so how about we take the ten thousand dollars back to the indian casino tell them kyle
18,5,Butters,i love you too dad
1,7,Kenny,heeeeyyyy kick ass  ow
12,3,Kenny,me too
2,12,Randy,hoho stan youre so young you just dont get it  well anyway have a nice day
7,5,Kenny,woohoo
2,8,Chef,baby you know youre the girl for meeeand all that i want to beeeee is you and meand her simultaneousyou and me and you and yousimultaneous lovin babytwo or three simultaneousooh thats right hello what oh hello children its a what a giant snake killing everybody growing bigger children you know i rarely say this but well futch ya simultaneous you and meand you and yousimultaneous lovin babytwo or three
13,7,Butters,oh hehe says theyre in there
8,7,Kyle,youve been on your fucking phone since we started
1,12,Cartman,sweet im gonna be rich bet you wish you hadnt given me that triangle back now huh kyle dumbass
5,7,Mr. Mackey,goh mkay
4,6,Kenny,here
6,1,Stan,did you bring the camera
12,11,Sharon,we have to see what the news is saying
14,4,Stan,fuckin yahtzee again seriously
8,4,Sharon,randy  randy oh my god
13,6,Randy,ey hollis you uh you guys race already
3,9,Kyle,kyle broflovski
3,1,Mr. Mackey,sorry im late
7,9,Cartman,i think thats what the whole world needs praise christ
8,1,Chef,no cant say that i have hey what are you children doin with those weapons
5,11,Cartman,maybe well have to send him to concentration camp awgh damnit damnit damnit
4,11,Sharon,we are not trying to persecute you kids but youre supposed to be in school
4,9,Randy,yeah i wanna see what you guys can do and then well go buy you a small toy so that you can forget all about this
1,6,Chef,hows it goin
3,3,Kyle,now cartman
12,6,Stan,its gotta be our turn soon
6,16,Sharon,who are you
9,11,Kyle,what
17,9,Randy,screw them theyll have to fend for themselves wait red robin wedding whos getting married
5,7,Mr. Mackey,why sure  hey uh i think i can get through that stuff pretty quick mm  uh maybe we should come up with another lesson plan
4,12,Mr. Mackey,after being dismissed from teaching he went off to write romance novels his first novel sold well and everything was fine until he found out that his novel won the gay pulitzer prize and was considered the best homoerotic novel since huckleberry finn
3,10,Sharon,my son hasnt made any sense in days
1,1,Kyle,yeah boy am i glad to see you ike
12,10,Sharon,to be honest mrs tucker we think craig is bad influence on our boys
18,1,Kyle,barking vaginal belch
4,12,Mr. Garrison,alright lets try it again
12,7,Mr. Garrison,not me not me not me not me not me
3,2,Stan,hes hiding down in the basement i i dont know what to do
15,7,Kyle,hey stan
6,10,Mr. Mackey,mkay interesting token uh who would like to go next  uh how about someone who didnt write about how cool bebe is
16,13,Stan,it all just happened so fast the next thing i knew i had a nike commercial
9,8,Kyle,stan people in beaverton are still trapped on their roofs nobodys helping them because they think they cant go outside
13,4,Sharon,you really think women cared that much about queefing is that really what you think this has all been about this has been about women having a little bit of fun for once at your expense for just this one time we could be the immature ones to make you feel uncomfortable but no you just couldnt let us have that one little thing could you because even though things are getting better for women you still think of us as lesser people sometimes and we always have to prove ourselves twice as hard congratulations guys  for getting your way again
9,14,Cartman,nahuh i dont raku disciprine
3,4,Kenny,shop class  no i wont
14,10,Stan,dude please wake up youre a grown man in a psychiatrists office
8,12,Butters,before what happens
3,12,Kenny,mine is so fuckin badass its gotta win now
4,11,Kenny,cartman cartman youve gotta help me and im not foolin around
8,9,Kyle,yeah weve come to complain we dont want a wallmart in our town
10,14,Sharon,stanley where have you been its almost bedtime
1,7,Chef,mayor weve got a big problem
3,3,Chef,veronica surprised me at the office and took me out to dinner  shes so amazing
14,4,Randy,oh okay so were were not friends then
4,7,Sharon,its okay we trust that you know what youre doing
2,5,Chef,"oh sorry about whoopin your ass there coach
ooo baby come on
just whooped denvers ass
gonna need some cream for your ass
its all swollen and red"
10,12,Cartman,im waiting for the new nintendo wii to come out
3,11,Stan,cool
2,12,Sharon,truth
7,5,Cartman,ms lopez could you show everyone your example of latino arts
13,11,Butters,i watch their show all the time and they take volunteers
11,9,Sharon,all right will you flush the toilet now
16,11,Cartman,he said he had to go back to his homeland and then told me it was none of my business and to keep my fat mouth shut
1,4,Chef,"now children weve got to handle the ball better you got to hold your football like you hold your lover  gently yet firmly you wanna be both nurturing and clinging at the same time oh yeah 
just like makin sweet love to the football
feelin naughty with the football
mmmm"
3,9,Kenny,come on squirts we gotta run were already goddamned late
3,10,Sharon,im watching one of stanleys chinpokomon video tapes
8,7,Kyle,youve been on your fucking phone since we started
2,4,Cartman,eech  wait a minute no you wouldnt
18,6,Stan,free
1,3,Chef,but you see mr mayor you cant stop serving salisbury steak in our public schools whats next meatloaf
7,5,Cartman,ms lopez wont go to sleep
18,9,Randy,no i dont iggy i just think that our younger girl fans need something a little more positive as role models
7,14,Butters,oh god i missed you so much
5,13,Cartman,thirtythree aborted fetuses  oh yes
9,14,Randy,is this the line  oh god  is this whole line people waiting to be cured
10,12,Butters,well um can can anything bad happen if you completely freeze yourself and then unfreeze yourself three weeks later
10,8,Randy,damnit mines in the shop  uh hey eh help stop  please its an emergency  nelson nelson i need to come over and use your computer no i di need to play world of warcraft nelson
1,4,Kyle,ah dude weak
17,6,Kyle,about what
16,11,Butters,no this is our home and im sick of everyone who thinks theyre better than me just cause theyve got good looks and just cause even after massacring daredevil they happen to come back and hit a home run that everyone likes you shouldnt be able to be goodlooking and be with jennifer lopez and be a good director  all right all right fine argo is a good movie there i admitted it i told people that it didnt hold up but it holds up god darn it ben affleck has everything gragh
18,2,Mr. Garrison,yeah all hes gonna talk about is how hes glutenfree now and feels sooo fuckin amazing
7,11,Stan,dude thats not funny you shouldnt joke about that
13,14,Stan,after this you guys wanna hit the hurricane slides
1,3,Kyle,yeah give me that flashlight
12,3,Kenny,hey what the hell are you doing
4,17,Stan,hey  wait a minute
15,4,Randy,power to the people burn it down burn it down
18,6,Stan,well yeah i was sick in bed what else was i gonna do
11,14,Kenny,aah
6,16,Sharon,hes right if we use lies and exaggerations to keep kids off drugs then theyre never gonna believe anything we tell them
15,7,Sharon,who the hell is that woman randy what the hell do you think youre doing
11,12,Stan,well you have to convince them they are real
15,7,Randy,why cant you ever just support me
18,2,Randy,all right come on
8,3,Cartman,i already brought it bitch i brought it set it down on the table and opened it bitch
18,8,Kenny,i dont know it just seems kind of mean
5,8,Sharon,sure
12,14,Butters,uh oh
12,12,Randy,yes i can yes i can
2,4,Chef,okay
1,11,Mr. Garrison,aauughhuh
2,11,Mr. Mackey,oh no apparently he thinks hes charlton heston
2,8,Stan,how can they do this to us doesnt anyone believe in tradition anymore
5,2,Butters,oh no no oh no no oh no no
1,5,Kyle,we need to genetically engineer our pig and an elephant but their genes wont splice
6,7,Butters,haaah
5,4,Cartman,well we would tour but we just hate that scott tenorman kid so much that we dont want to  yeah scott tenorman is totally not cool hes not cool
6,15,Chef,cartman
4,14,Butters,the kindergartners i just came from their dress rehearsal hoh its good you guys its real good
12,6,Sharon,shelly give your brother his ticket back
1,13,Mr. Garrison,i am not gay
10,1,Chef,pooot
3,3,Chef,iii do
9,2,Randy,sstan staaan
6,3,Stan,hell no dude then we couldnt watch you on tv
9,2,Cartman,im talking about the end of all life as we know it  for the past several days ive been noticing a steep rise in the number of hippies coming to town  at first i thought maybe it was just a coincidence  then i saw this  three new drum circles have sprouted up here here and here theyre all growing in diameter at a rate of two hippies per hour what this means is that the hippies are conglomerating theyre thriving if you will i think that theyre setting up for a  hippie music festival
2,16,Sharon,ill leave it up to your father
14,10,Sharon,that doesnt sound very difficult
4,2,Kenny,fuck you
18,6,Randy,how
12,11,Cartman,what is it
5,7,Mr. Mackey,yeah hmm
2,8,Chef,hey children everybody im back im back from aruba what the
7,7,Sharon,what but dont the native americans know he has nowhere else to go
13,4,Mr. Garrison,theyre just the same as you and me their rights must be preserrrrrrrrrved
5,14,Butters,a drive oh boy  i i love a good drive is dad comin too
9,6,Cartman,tell her tell her that i wish i wish i would have been a better son sometimes
13,12,Stan,alright kyle and i are gonna spray paint messages to the harley riders cartman you said you had an idea
6,14,Mr. Garrison,okay children lets take our seats uh apparently none of you tried to get me fired yesterday so i guess were just gonna have to go on and learn more today  now who can tells me what happens to water when we heat it up in the bunsen burner
10,10,Cartman,youre goin with christ
6,1,Butters,ugh  wuh wuh i cant eat no more
12,1,Mr. Mackey,eric come on in your friends want to say hi mkay
13,1,Kenny,hey tammy
4,15,Kyle,yeah people are willing to pay big money to see kenny do this stuff
18,2,Stan,yeah you remember you said that lorde the singer her uncle worked with you
2,4,Mr. Mackey,mkay
7,11,Butters,nnnhow terrible
12,10,Kenny,well i dont know
15,10,Mr. Mackey,alright fine bring her in adler
1,12,Chef,and the other triangle is the one that little kyle has
17,3,Mr. Mackey,well eric you need to do somethin because you keep losing sleep mkay and sleep is very important to your success at school mkay
2,12,Mr. Mackey,yeahmkay
4,2,Cartman,tih  tooth  what the hell mom
3,1,Kenny,woohoo  i mean oh
10,1,Chef,children run
16,13,Butters,hes the one person who doesnt do stuff like that why dont you leave him alone
3,17,Mr. Garrison,mr mackey um i cant go to arkansas somebodys gonna have to fill in for me
1,5,Mr. Garrison,uh uhuh stanley can i talk to you for a minute
9,4,Kenny,hey thats odd  hey im floating that cant be hey wait
7,10,Randy,get off the streets get off the streets old people are driving  gerald where are the boys
1,1,Stan,what how do you know she has a cat
18,9,Randy,look i do a lot of postproduction enhancements to make my music sound the way it does okay i feel like if i play live im really gonna disappoint people im sorry but the answer is no
13,6,Randy,okay lets ah put the wheels on now son
2,15,Kenny,uh huh
3,8,Stan,now we find a way to get this tape to the real reporters
4,2,Kenny,hey guys  heeyungh  oowww
8,14,Butters,well but but what happened
5,3,Kyle,dude no way
12,1,Butters,oh uhokay its clear
13,1,Kenny,hey tammy
2,8,Mr. Garrison,sometimes mr hat liked to pretend he was in a sauna with brett favre and a bottle of thousand island dressing
4,13,Kyle,im gonna
18,2,Sharon,all right thats all of it
13,1,Kenny,hey
9,10,Kyle,why
2,4,Mr. Mackey,boys are you paying attention
1,1,Chef,oh was it the ones with the big long heads and the black eyes
15,7,Randy,no you just dont understand tween wave cause youre old
2,4,Mr. Mackey,now boys you need to listen up mkay whawhat im talkin about might save your life someday mkay
6,12,Kenny,we can watch it at my house
14,10,Stan,no because there could be something written on one of them thats important and uh no dont take my empty bottle  ggive me back my sandwich
6,3,Butters,better prizes
16,14,Cartman,warm nuts she said
16,12,Stan,i know but theres nothing i can do
3,10,Kenny,hey you guys
5,9,Butters,uh hey  hows it goin fellas
7,10,Randy,sharon have you seen dad
4,9,Randy,what me do you like my singing that much
7,8,Mr. Garrison,well thanks you too  so uh randy you want me to give you a hand job in the bathroom
2,4,Mr. Mackey,uhh drudrugs are baad
8,5,Butters,okay mom well come on awesomo bedtime
2,8,Mr. Garrison,mr hat is just a puppet
12,10,Mr. Garrison,theyre all over the place
18,2,Randy,yeah yeah yeah yeah yeah yeah i am lorde yeah yeah yeah lorde lorde call me lorde yeah yeah yeah yeah yeah yeah
8,9,Stan,dad youre a geologist
9,3,Kenny,what
12,3,Mr. Mackey,well its a its not actually cat urine but male cats when theyre marking their territory uh spread concentrated urine to fend off other male cats and aand that could get you really high mkay rereally reeeally high okay  probably shoushouldnt have told you that just now hmkay tha that was probably bad
18,2,Mr. Garrison,you gotta get out
2,8,Kyle,were bored
14,14,Sharon,oh yes i was interested in the shake weights
13,14,Butters,you said go ahead
11,9,Stan,hi my name is stan marsh my dads trying to beat your record for biggest crap
12,6,Sharon,shelly give your brother his ticket back
5,7,Mr. Garrison,okay children now i wanna review the different sexual positions who can tell me which sexual positions we talked about
2,12,Mr. Garrison,dont lie stan lying makes you sterile
12,14,Butters,oh uh i wanna be a vampire
1,10,Kyle,we cant miss the final apocalyptic battle between good and evil
6,7,Butters,he did hawww heck i thought i was bein original
7,1,Chef,i dont think were outta the woods yet
15,10,Mr. Mackey,well students why dont we uh  oooh oh gee uh
3,2,Mr. Garrison,oh here comes the guilt trip again
1,12,Kenny,yeah and i got this nice marble sack to go with this carrot stick see
2,10,Sharon,boys youre going to sleep over at kennys and thats final
5,6,Butters,hoh
1,4,Stan,hes part doberman and part wolf hes the toughest dog on the mountain
13,7,Cartman,yes do you really wanna go back to that
9,14,Randy,oh yeah  get off my ass dickhole
1,1,Cartman,what the hell are they talking about
9,1,Stan,oh jesus hes about to play
18,7,Butters,suppornity window dropped
8,5,Butters,hey look over there awesomo the film studio commissary  thats where all them rich movie producers who come up with uh hollywood blockbusters have their lunch neato huh
3,10,Stan,no  screw this dude
3,10,Kenny,no
15,8,Kyle,why so that we can lose our business and everything can go back to old times
2,10,Kenny,uhhuh
12,13,Kenny,yeah look at yourself dude
1,12,Stan,oh my god they killed kenny
14,9,Sharon,sheila who are you talking to
15,7,Sharon,its not because im older im telling you our music is better
7,5,Kyle,that does it im out
2,4,Mr. Mackey,okay kids uh you shouldnt do drugs mkay drugs are bad you see i was at the bottom of the barrel i was a wreck why i didnt even care about money i wasi was wasting my life
10,10,Kyle,how do you know that
1,11,Mr. Garrison,uuuuuuuuuuugh
4,9,Chef,all they do is make videos showing tons and tons of girls screaming for the boy band once you get girls screaming you cant stop em theyre crazy  uhuh except for lilian of course
4,2,Butters,well oh gosh i i didnt think youd be so fat
2,11,Mr. Mackey,um hows he doing nurse
4,3,Sharon,randy
11,4,Butters,hey i was about to win
2,14,Mr. Garrison,stinky britches by alanis morissette
15,9,Butters,so then so then the fireman says that wont even fit in my scrotum  yeah
4,13,Kyle,yeah but hes some kind of genius so hes getting advanced placement in kindergarten
3,1,Stan,im just ascared of snakes
1,10,Kyle,we have to find red and green mega man for cartmans birthday party
2,12,Stan,it doesnt matter dude it only has to last long enough to play truth or dare im gonna go get the girls
14,8,Cartman,oh fuck my ass
6,1,Chef,it definitely worked for every woman i ever met
3,13,Kyle,uuuh hi
7,6,Kenny,yeah
6,15,Chef,this hospital isnt gonna do any good we need to take him to see john edward
17,2,Sharon,ive got a surprise for you too randy
8,1,Butters,it hurts it hurts
2,4,Mr. Mackey,sure man fingerpaintins cool mkay
13,4,Sharon,oh excuse me i  i i had a little air trapped
18,3,Mr. Garrison,nobody else is gonna know that you better just give him what he wants
3,2,Mr. Garrison,oh here comes the guilt trip again
10,12,Mr. Mackey,m mkay yayou realize evolution has been pretty much uhhh proven
4,7,Mr. Mackey,well there you go mkay
9,7,Mr. Mackey,hes what oh you do rright now right now it is mkay mkay dont worry jimmy  nkay uhhh lets pick someone else um eric why dont you come up here
2,5,Chef,great job children just stay focused now
9,8,Randy,my son is counting on me
18,3,Mr. Garrison,nobody else is gonna know that you better just give him what he wants
6,12,Randy,no agh look i i think maybe this has gone on far enough
1,1,Kyle,come on ike i promise ill be nice to you from now on
4,12,Chef,oooo call the doctor
4,3,Sharon,no stanley cirque du cheville is frenchcanadian they get acrobats and singers from all over the world and then do very artistic things
8,9,Stan,dad we know how to destroy the wallmart
14,2,Kenny,its fucking disgusting
15,7,Randy,city bop city yeah  thank you thank you so much id like to uh bring up a special guest now the other night i was chatting in a tween wave chatroom because i do love tween wave so much and i uh started chattin with this nice lady who also really like her kids tween wave music and turns out shes a real talented artist as well please welcome miss steamy nicks
3,6,Mr. Garrison,uh craig how about you
1,7,Chef,oh sorry  but my point is that topical cream aint gonna fix whats wrong here
18,2,Randy,we love the city yeah yeah yeah cause i am lorde i am lorde lorde lorde lorde lorde yeah yeah yeah
16,8,Sharon,randy arent you gonna come join your family for dinner
17,9,Sharon,hes not allowed to come out of his room so you can talk to him through the door
10,8,Cartman,what the hell are you guys doing dont tell me you all quit playing world of warcraft too
7,9,Butters,uhm oh
3,10,Sharon,i dont know what the hell theyre talking about
4,7,Sharon,thats right
15,7,Sharon,its not because im older im telling you our music is better
6,1,Butters,wuhare my mom and dad back home yet
5,14,Butters,eh no because i already told mom and shes fine
10,6,Mr. Mackey,no the last one
18,2,Randy,you cant just keep us in here
7,8,Mr. Garrison,chef what did you do when white people stole your culture
14,8,Cartman,all that work all the effort i put in i still wasnt poor and stupid enough to win
9,9,Butters,lezzing out whats lezzing out
2,4,Mr. Mackey,oh good point  no i dont feel any doooohh  oh baby get down mkay
18,2,Randy,ngoh
10,9,Mr. Mackey,look whatever you believe the fact of the matter is somebody dropped a dookie in the school urinal and theres still no explanation for that
2,8,Cartman,i am not swimming around in pee
2,4,Mr. Mackey,i will ms social worker i will  mkay
12,10,Kenny,cause girls like shaved balls
5,8,Cartman,no it isnt
15,8,Mr. Garrison,no butters thats not how it works
1,12,Kenny,yeah and i got this nice marble sack to go with this carrot stick see
4,6,Kenny,dad i wanna play catch
9,9,Stan,but if one of us pretends to be the new girl in class the girls will wonder where that boy went
12,8,Stan,why aliens aliens dont belong in an indiana jones movie  come on dude theres nothing we can do
12,13,Stan,"god damn it  no matter what i do this kid just wont stop  and now theyre gonna be in a show together jesus its all over for me  theyll probably even have a kissing scene what did i do to deserve this and what am i suppose to do now 
sooooomeooooones in the kitchen with dinah
someones in the kitchen i know
someones in the kitchen with dinah
strummin on the old banjo and go and
fee fie fiddleeio
fee fie fiddleeioooo
fee fie fiddleeio
strumming on the old banjo jo jo
go tell aunt rhodie
go tell aunt rhodie
go tell aunt rhodie
the old gray goose is
happy birthday to you
happy birthday to"
1,6,Sharon,oh alright but take your grampy with you
1,3,Chef,but you see mr mayor you cant stop serving salisbury steak in our public schools whats next meatloaf
2,5,Chef,so lets have half the children on this side  and half the children on that side
1,9,Kyle,i said ikes on fire
13,10,Cartman,do you know what its like to have an abortion at seven years old do you ive had so many abortions i just got addicted to them
14,5,Mr. Garrison,no dont  is that okay to show
9,6,Butters,but i saw him just as plain as im seein you right now
3,10,Cartman,no kitty these are my spicyhot louisianabaked chicken tenders
7,7,Randy,he he lost his house to the native americans
1,7,Chef,damn it boy what in the hell are you doin dressed up like that
2,9,Kyle,sick kenny
4,15,Kenny,and me
18,6,Stan,no no its not
10,12,Kenny,what
13,14,Kyle,jesus christ
1,2,Chef,how are my little crackers today
3,13,Kenny,heheh yeah youre a faggot dude fuck yeah heheeheh
2,5,Mr. Mackey,uh nurse gollum is absolutely qualified to be a
11,9,Sharon,you have got to be kidding me
7,14,Butters,wwe are
3,17,Mr. Mackey,mkaymr garrison youre just having a hard time dealing with the memories of your fathers sexual abuse so you switch personalities to mr hat mkay
8,6,Kenny,nonono wait im not blanket
3,2,Mr. Garrison,oh here comes the guilt trip again
18,7,Butters,yes
12,11,Kenny,yeah
2,12,Sharon,randy my wedding ring i lost it down the garbage disposal
3,14,Cartman,i knew they would
4,17,Kyle,and ill stand
14,10,Sharon,why
16,3,Kyle,two one go cartman
10,12,Stan,its still three weeks
6,1,Butters,huh huh uh uh
8,1,Butters,it hurts it hurts
5,2,Randy,stanley you call your friend an asshole this instant
15,10,Mr. Mackey,eh is this one good
6,10,Mr. Mackey,mkay kids lets take our seats mkay  i know this has been a difficult couple oweeks for you all with the untimely death of your teacher but its time for us to try to move on and learn mkay
3,14,Randy,lets bring those confederate bastards down
2,11,Mr. Mackey,um hows he doing nurse
6,1,Chef,it definitely worked for every woman i ever met
12,11,Mr. Garrison,guinea rats
10,12,Butters,i got it  big tree oval rock
12,12,Randy,hey its my boss hey boss
